Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b784d18f4e0a33da7de8f,60ccbffae161aadb1880ad6c,APPROVED,Not Applicable,2025-11-17T19:32:37.831000Z,2025-11-17T19:50:39.082000Z,2025-11-17T20:11:00.442000Z,2025-11-17T19:50:39.495653Z,1082.0,C16GZ4K4,11338,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$70000–$79999,Donald Trump,Donald Trump,37,Female,White,United States,United States,United States,English,No,Full-Time
691b785d630000df75215eee,67e9e4a4cddd6331b90f280c,APPROVED,Not Applicable,2025-11-17T19:32:53.797000Z,2025-11-17T19:40:18.429000Z,2025-11-17T20:11:00.839000Z,2025-11-17T19:40:18.847005Z,445.0,C16GZ4K4,3721,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Donald Trump,Donald Trump,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
691b7884d2566ecfb1b74313,66c26b01a3d551a7d8bd342c,APPROVED,Not Applicable,2025-11-17T19:33:34.276000Z,2025-11-17T19:39:52.962000Z,2025-11-17T20:11:01.225000Z,2025-11-17T19:39:53.320816Z,379.0,C16GZ4K4,5792,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$90000–$99999,Donald Trump,Donald Trump,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b7889cf9a32fd938aabea,60712d937752fb8780e89951,APPROVED,Not Applicable,2025-11-17T19:33:31.828000Z,2025-11-17T19:46:18.233000Z,2025-11-17T20:11:01.667000Z,2025-11-17T19:46:18.622065Z,767.0,C16GZ4K4,12786,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Donald Trump,Donald Trump,37,Male,White,United States,United States,United States,English,No,Full-Time
691b78ab06ff68e9e1cdb604,65031f68de6e940396216f8a,APPROVED,Not Applicable,2025-11-17T19:34:07.670000Z,2025-11-17T19:39:01.895000Z,2025-11-17T20:11:04.177000Z,2025-11-17T19:39:02.345801Z,295.0,C16GZ4K4,7431,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$50000–$59999,Donald Trump,Donald Trump,57,Female,White,United States,United States,United States,English,No,Part-Time
691b78afbf4b1cc270a374b6,678bbb267cd2b3ce8d20084f,APPROVED,Not Applicable,2025-11-17T19:34:16.236000Z,2025-11-17T19:42:43.301000Z,2025-11-17T20:11:04.506000Z,2025-11-17T19:42:43.702983Z,508.0,C16GZ4K4,2385,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Donald Trump,Donald Trump,40,Female,White,United States,United States,United States,English,No,Full-Time
691b78d9491087c7a58a0d9e,5f7529755aaa0e1a6e804640,APPROVED,Not Applicable,2025-11-17T19:38:18.202000Z,2025-11-17T19:42:44.017000Z,2025-11-17T20:11:04.910000Z,2025-11-17T19:42:44.400985Z,266.0,C16GZ4K4,9176,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Joe Biden,Kamala Harris,49,Male,White,United States,United States,United States,English,No,Full-Time
691b791b5d649c787f91a5d8,6717b21c1e82990c9080d9bc,APPROVED,Not Applicable,2025-11-17T19:40:30.760000Z,2025-11-17T19:49:08.753000Z,2025-11-17T20:11:05.307000Z,2025-11-17T19:49:09.156796Z,518.0,C16GZ4K4,907,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Black/African American,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,40,Female,Black,United States,United States,United States,English,No,Part-Time
691b7927093dbc773b672679,66df530525ff636218e380bf,APPROVED,Not Applicable,2025-11-17T19:36:11.838000Z,2025-11-17T19:42:51.380000Z,2025-11-17T20:11:05.634000Z,2025-11-17T19:42:51.830169Z,400.0,C16GZ4K4,2321,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Latino/Hispanic,Undergraduate degree (BA/BSc/other),$60000–$69999,Donald Trump,Donald Trump,33,Male,Mixed,United States,United States,United States,English,No,Full-Time
691b7934f88f74eb10eb0e5d,5dbdf54d13d4c7320ab224f7,APPROVED,Not Applicable,2025-11-17T19:36:29.268000Z,2025-11-17T19:44:00.290000Z,2025-11-17T20:11:05.921000Z,2025-11-17T19:44:00.706904Z,452.0,C16GZ4K4,4474,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$30000–$39999,Donald Trump,Donald Trump,79,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
