Submission id,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b835a979598b25f5eaddb,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$70000–$79999,I did not vote,Donald Trump,54,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b8362738543e4f74e292e,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),East Asian,High school diploma/A-levels,$10000–$15999,I did not vote,I did not vote,36,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
691b8394b887a66fbe7ebb20,"English, Arabic",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Middle Eastern,Undergraduate degree (BA/BSc/other),$60000–$69999,Donald Trump,Donald Trump,36,Female,White,Iraq,United States,United States,Arabic,No,Unemployed (and job seeking)
691b83c6852a4920caeaf908,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$10000–$15999,Donald Trump,Donald Trump,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b83d47d2e9bf482b32c4d,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$40000–$49999,Donald Trump,Donald Trump,46,Male,White,United States,United States,United States,English,No,Full-Time
691b83ddd82a679c969a1d38,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b83fb792493aa23f2211d,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Doctorate degree (PhD/other),More than $150000,Donald Trump,Donald Trump,38,Female,White,United States,United States,United States,English,No,Full-Time
691b83feaa6c6a015a9a198a,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Doctorate degree (PhD/other),$100000–$149999,Donald Trump,Donald Trump,69,Female,White,Japan,United States,United States,English,No,Part-Time
691b843fc395f5f4df473bcd,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Technical/community college,$30000–$39999,Donald Trump,Donald Trump,59,Female,White,United States,United States,United States,English,No,Full-Time
691b8450b887a66fbe7ebb39,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$50000–$59999,Joe Biden,Kamala Harris,62,Female,White,United States,United States,United States,English,No,Full-Time
691b84e182203ac3f09df2a0,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),$90000–$99999,Rather not say or N/A,Donald Trump,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b854cb3570b049d6caa38,"English, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$70000–$79999,I did not vote,Donald Trump,44,Female,White,United States,United States,United States,English,Yes,Full-Time
691b855fc69652c140a68b2e,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),$70000–$79999,Donald Trump,Donald Trump,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
